idPedido,descTipoItem,descItem
38,ingrediente 5,tomate seco
38,massa,massa tradicional
38,queijo 1,queijo brie
38,queijo 2,ricota
39,bebida,suco de uva
39,borda,sabor catupiry
39,ingrediente 1,bacon
39,ingrediente 2,frango
39,ingrediente 3,carne seca
39,ingrediente 4,linguiça calabresa defumada
39,ingrediente 5,calabresa
39,massa,massa tradicional
39,queijo 1,catupiry
39,queijo 2,gorgonzola
40,bebida,cerveja
40,borda,sabor catupiry
40,ingrediente 1,tomate
40,ingrediente 2,azeitona
40,ingrediente 3,presunto
40,ingrediente 4,bacon
40,ingrediente 5,linguiça calabresa defumada
40,massa,massa grossa
40,queijo 1,parmesão
40,queijo 2,mussarela
41,bebida,refrigerante
41,borda,borda tradicional
41,ingrediente 1,bacon
41,ingrediente 2,azeitona
41,ingrediente 3,orégano
41,ingrediente 4,pimenta calabresa
41,ingrediente 5,calabresa
41,massa,massa tradicional
41,queijo 1,mussarela
41,queijo 2,catupiry
42,bebida,refrigerante
42,borda,borda tradicional
42,ingrediente 1,bacon
42,ingrediente 2,ovo
42,ingrediente 3,tomate
42,ingrediente 4,milho
42,ingrediente 5,presunto
42,massa,massa tradicional
42,queijo 1,parmesão
42,queijo 2,mussarela
43,bebida,suco de laranja
43,borda,borda tradicional
43,ingrediente 1,calabresa
43,ingrediente 2,cebolinha
43,ingrediente 3,presunto
43,ingrediente 4,tomate
43,ingrediente 5,bacon
43,massa,massa tradicional
43,queijo 1,catupiry
43,queijo 2,mussarela
44,bebida,água com gás
44,borda,sabor catupiry
44,ingrediente 1,calabresa
44,ingrediente 2,cebola
44,massa,massa final
44,queijo 1,mussarela
45,bebida,suco de abacaxi
45,borda,cheddar
45,ingrediente 1,alho
45,ingrediente 2,cogumelos
45,ingrediente 3,pimentão
45,ingrediente 4,azeitona
45,ingrediente 5,pepperoni
45,massa,massa tradicional
45,queijo 1,gorgonzola
45,queijo 2,cheddar
46,bebida,refrigerante
46,borda,cream cheese
46,ingrediente 1,presunto
46,ingrediente 2,calabresa
46,ingrediente 3,frango
46,ingrediente 4,bacon
46,ingrediente 5,tomate
46,massa,massa tradicional
46,queijo 1,mussarela
46,queijo 2,cheddar
47,bebida,suco de laranja
47,borda,sabor catupiry
47,ingrediente 1,bacon
47,ingrediente 2,alho
47,ingrediente 3,cogumelos
47,ingrediente 4,pimenta calabresa
47,ingrediente 5,queijo cheddar
47,massa,massa grossa
47,queijo 1,mussarela
47,queijo 2,queijo brie
48,bebida,cerveja
48,borda,sabor catupiry
48,ingrediente 1,bacon
48,ingrediente 2,frango
48,ingrediente 3,calabresa
48,ingrediente 4,calabresa
48,ingrediente 5,tomate seco
48,massa,massa tradicional
48,queijo 1,provolone
48,queijo 2,gorgonzola
49,bebida,suco de laranja
49,borda,sabor catupiry
49,ingrediente 1,frango
49,ingrediente 2,bacon
49,ingrediente 3,cebola caramelizada
49,ingrediente 4,pimenta calabresa
49,ingrediente 5,azeitona
49,massa,massa tradicional
49,queijo 1,mussarela
49,queijo 2,gorgonzola
50,bebida,vinho tinto
50,borda,borda tradicional
50,ingrediente 1,nozes
50,ingrediente 2,cebola
50,ingrediente 3,alho
50,ingrediente 4,amêndoas
50,massa,massa tradicional
50,queijo 1,mussarela
50,queijo 2,provolone
51,bebida,suco de abacaxi
51,borda,sabor catupiry
51,ingrediente 1,presunto
51,ingrediente 2,carne seca
51,ingrediente 3,azeitona
51,ingrediente 4,palmito
51,ingrediente 5,bacon
51,massa,massa tradicional
51,queijo 1,mussarela
51,queijo 2,ricota
52,bebida,suco de laranja
52,borda,borda tradicional
52,ingrediente 1,tomate
52,ingrediente 2,bacon
52,ingrediente 3,frango
52,ingrediente 4,calabresa
52,ingrediente 5,ovo
52,massa,massa tradicional
52,queijo 1,parmesão
52,queijo 2,mussarela
53,bebida,refrigerante
53,borda,cream cheese
53,ingrediente 1,presunto
53,ingrediente 2,tomate
53,ingrediente 3,azeitona
53,ingrediente 4,bacon
53,ingrediente 5,amêndoas
53,massa,massa tradicional
53,queijo 1,mussarela
53,queijo 2,catupiry
54,bebida,refrigerante
54,borda,borda tradicional
54,ingrediente 1,pepperoni
54,ingrediente 2,tomate
54,ingrediente 3,rúcula
54,ingrediente 4,azeitona
54,ingrediente 5,queijo cheddar
54,massa,massa tradicional
54,queijo 1,mussarela
54,queijo 2,parmesão
55,bebida,vinho tinto
55,borda,borda tradicional
55,ingrediente 1,tomate
55,ingrediente 2,bacon
55,ingrediente 3,cebola
55,ingrediente 4,azeitona
55,ingrediente 5,azeite de oliva
55,massa,massa tradicional
55,queijo 1,mussarela
55,queijo 2,gorgonzola
56,bebida,refrigerante
56,borda,sabor catupiry
56,ingrediente 1,queijo de cabra
56,ingrediente 2,pepperoni
56,ingrediente 3,orégano
56,ingrediente 4,pepperoni
56,ingrediente 5,queijo roquefort
56,massa,massa tradicional
56,queijo 1,gorgonzola
56,queijo 2,cheddar
57,bebida,suco de laranja
57,borda,borda tradicional
57,ingrediente 1,abacaxi
57,ingrediente 2,azeitona
57,ingrediente 3,presunto
57,ingrediente 4,tomate
57,ingrediente 5,frango
57,massa,massa tradicional
57,queijo 1,mussarela
57,queijo 2,catupiry
58,bebida,refrigerante
58,borda,sabor catupiry
58,ingrediente 1,presunto
58,ingrediente 2,tomate
58,ingrediente 3,azeitona
58,ingrediente 4,orégano
58,ingrediente 5,alho
58,massa,massa tradicional
58,queijo 1,mussarela
58,queijo 2,catupiry
59,bebida,suco de abacaxi
59,borda,cheddar
59,ingrediente 1,cogumelos
59,ingrediente 2,azeitona
59,ingrediente 3,abacaxi
59,ingrediente 4,alho-poró
59,ingrediente 5,cebola caramelizada
59,massa,massa integral
59,queijo 1,queijo brie
59,queijo 2,parmesão
60,bebida,refrigerante
60,borda,borda tradicional
60,ingrediente 1,pepperoni
60,ingrediente 2,bacon
60,ingrediente 3,frango
60,ingrediente 4,linguiça calabresa defumada
60,massa,massa tradicional
60,queijo 1,mussarela
60,queijo 2,mussarela
61,bebida,água com gás
61,borda,borda tradicional
61,ingrediente 1,azeitona
61,ingrediente 2,tomate seco
61,ingrediente 3,cogumelos
61,ingrediente 4,presunto
61,ingrediente 5,bacon
61,massa,massa final
61,queijo 1,mussarela
61,queijo 2,gorgonzola
62,bebida,cerveja
62,borda,cheddar
62,ingrediente 1,pimentão
62,ingrediente 2,tomate
62,ingrediente 3,calabresa
62,ingrediente 4,azeite de oliva
62,ingrediente 5,alho
62,massa,massa final
62,queijo 1,parmesão
62,queijo 2,catupiry
63,bebida,cerveja
63,borda,sabor catupiry
63,ingrediente 1,calabresa
63,ingrediente 2,queijo coalho grelhado
63,ingrediente 3,bacon
63,ingrediente 4,cebolinha
63,ingrediente 5,alho-poró
63,massa,massa final
63,queijo 1,mussarela
63,queijo 2,provolone
64,bebida,refrigerante
64,borda,sabor catupiry
64,ingrediente 1,azeitona
64,ingrediente 2,tomate seco
64,massa,massa tradicional
64,queijo 1,mussarela
64,queijo 2,queijo brie
65,bebida,vinho tinto
65,borda,sabor catupiry
65,ingrediente 1,alho
65,ingrediente 2,cebola
65,ingrediente 3,tomate
65,ingrediente 4,bacon
65,ingrediente 5,mel
65,massa,massa tradicional
65,queijo 1,mussarela
65,queijo 2,queijo brie
66,bebida,refrigerante
66,borda,borda tradicional
66,ingrediente 1,pepperoni
66,ingrediente 2,tomate
66,ingrediente 3,atum
66,ingrediente 4,milho
66,ingrediente 5,frango
66,massa,massa tradicional
66,queijo 1,mussarela
66,queijo 2,parmesão
67,bebida,refrigerante
67,borda,borda tradicional
67,ingrediente 1,presunto
67,massa,massa tradicional
67,queijo 1,mussarela
68,bebida,cerveja
68,borda,sabor catupiry
68,ingrediente 1,pepperoni
68,ingrediente 2,pimenta calabresa
68,ingrediente 3,rúcula
68,ingrediente 4,bacon
68,ingrediente 5,orégano
68,massa,massa final
68,queijo 1,mussarela
68,queijo 2,parmesão
69,bebida,refrigerante
69,borda,borda tradicional
69,ingrediente 1,cebola
69,ingrediente 2,azeitona
69,ingrediente 3,orégano
69,ingrediente 4,tomate
69,ingrediente 5,bacon
69,massa,massa tradicional
69,queijo 1,mussarela
69,queijo 2,parmesão
70,bebida,suco de maracujá
70,borda,cheddar
70,ingrediente 1,azeitona
70,ingrediente 2,cebola
70,ingrediente 3,calabresa
70,ingrediente 4,alho-poró
70,ingrediente 5,orégano
70,massa,massa tradicional
70,queijo 1,mussarela
70,queijo 2,catupiry
71,bebida,suco de uva
71,borda,sabor catupiry
71,ingrediente 1,bacon
71,ingrediente 2,palmito
71,ingrediente 3,rúcula
71,ingrediente 4,tomate seco
71,ingrediente 5,azeite de oliva
71,massa,massa tradicional
71,queijo 1,mussarela
71,queijo 2,gorgonzola
72,bebida,cerveja
72,borda,cheddar
72,ingrediente 1,brócolis
72,ingrediente 2,pimentão
72,ingrediente 3,salsinha
72,ingrediente 4,queijo roquefort
72,ingrediente 5,grão de bico
72,massa,massa tradicional
72,queijo 1,catupiry
72,queijo 2,gorgonzola
73,bebida,vinho tinto
73,borda,cheddar
73,ingrediente 1,cogumelos
73,ingrediente 2,cebola
73,ingrediente 3,alho
73,ingrediente 4,atum
73,ingrediente 5,azeite de oliva
73,massa,massa tradicional
73,queijo 1,mussarela
73,queijo 2,catupiry
74,bebida,refrigerante
74,borda,sabor catupiry
74,ingrediente 1,azeitona
74,ingrediente 2,brócolis
74,ingrediente 3,frango
74,ingrediente 4,orégano
74,ingrediente 5,tomate seco
74,massa,massa final
74,queijo 1,mussarela
74,queijo 2,cheddar
75,bebida,suco de maracujá
75,borda,sabor catupiry
75,ingrediente 1,cebola
75,ingrediente 2,cogumelos
75,ingrediente 3,brócolis
75,ingrediente 4,tomate
75,ingrediente 5,azeite de oliva
75,massa,massa tradicional
75,queijo 1,gorgonzola
75,queijo 2,catupiry
76,bebida,suco de maracujá
76,borda,cream cheese
76,ingrediente 1,brócolis
76,ingrediente 2,frango
76,ingrediente 3,cebola
76,ingrediente 4,alho-poró
76,ingrediente 5,tomate
76,massa,massa tradicional
76,queijo 1,mussarela
76,queijo 2,parmesão
77,bebida,suco de laranja
77,borda,borda tradicional
77,ingrediente 1,cogumelos
77,ingrediente 2,brócolis
77,ingrediente 3,tomate seco
77,massa,massa final
77,queijo 1,mussarela
77,queijo 2,ricota
78,bebida,chá gelado
78,borda,borda tradicional
78,ingrediente 1,pepperoni
78,ingrediente 2,cebola
78,ingrediente 3,cogumelos
78,massa,massa tradicional
78,queijo 1,mussarela
78,queijo 2,gorgonzola
79,bebida,refrigerante
79,borda,cheddar
79,ingrediente 1,cogumelos
79,ingrediente 2,cebola
79,ingrediente 3,calabresa
79,ingrediente 4,salsinha
79,ingrediente 5,palmito
79,massa,massa tradicional
79,queijo 1,mussarela
79,queijo 2,gorgonzola
80,bebida,refrigerante
80,borda,borda tradicional
80,ingrediente 1,azeitona
80,ingrediente 2,tomate
80,ingrediente 3,camarão
80,ingrediente 4,cebola
80,ingrediente 5,pepperoni
80,massa,massa final
80,queijo 1,mussarela
80,queijo 2,parmesão
81,bebida,cerveja
81,borda,sabor catupiry
81,ingrediente 1,cebola
81,ingrediente 2,milho
81,ingrediente 3,pepperoni
81,ingrediente 4,bacon
81,ingrediente 5,orégano
81,massa,massa final
81,queijo 1,catupiry
81,queijo 2,mussarela
82,bebida,água com gás
82,borda,sabor catupiry
82,ingrediente 1,bacon
82,ingrediente 2,atum
82,ingrediente 3,azeitona
82,ingrediente 4,palmito
82,ingrediente 5,alcaparra
82,massa,massa final
82,queijo 1,catupiry
82,queijo 2,cheddar
83,bebida,cerveja
83,borda,sabor catupiry
83,ingrediente 1,pepperoni
83,ingrediente 2,cogumelos
83,ingrediente 3,mel
83,ingrediente 4,alho
83,ingrediente 5,pimenta biquinho
83,massa,massa tradicional
83,queijo 1,mussarela
83,queijo 2,queijo brie
84,bebida,limonada
84,borda,cream cheese
84,ingrediente 1,alcaparra
84,ingrediente 2,cogumelos
84,ingrediente 3,cebola
84,ingrediente 4,brócolis
84,ingrediente 5,azeitona
84,massa,massa tradicional
84,queijo 1,parmesão
84,queijo 2,gorgonzola
85,bebida,cerveja
85,borda,borda tradicional
85,ingrediente 1,presunto
85,ingrediente 2,azeitona
85,ingrediente 3,cebola
85,ingrediente 4,calabresa
85,ingrediente 5,ovo
85,massa,massa final
85,queijo 1,mussarela
85,queijo 2,cheddar
86,bebida,suco de laranja
86,borda,cream cheese
86,ingrediente 1,carne seca
86,ingrediente 2,cebola
86,ingrediente 3,tomate
86,ingrediente 4,brócolis
86,ingrediente 5,pimentão
86,massa,massa tradicional
86,queijo 1,parmesão
86,queijo 2,gorgonzola
87,bebida,refrigerante
87,borda,sabor catupiry
87,ingrediente 1,cogumelos
87,ingrediente 2,palmito
87,ingrediente 3,brócolis
87,ingrediente 4,tomate seco
87,massa,massa tradicional
87,queijo 1,mussarela
87,queijo 2,parmesão
88,bebida,refrigerante
88,borda,cheddar
88,ingrediente 1,linguiça
88,ingrediente 2,cebola
88,ingrediente 3,presunto
88,ingrediente 4,pepperoni
88,ingrediente 5,pimentão
88,massa,massa grossa
88,queijo 1,mussarela
88,queijo 2,queijo coalho
89,bebida,chá gelado
89,borda,sabor catupiry
89,ingrediente 1,cogumelos
89,ingrediente 2,alho
89,ingrediente 3,azeite de oliva
89,ingrediente 4,presunto
89,ingrediente 5,pimenta calabresa
89,massa,massa tradicional
89,queijo 1,mussarela
89,queijo 2,parmesão
90,bebida,vinho tinto
90,borda,cream cheese
90,ingrediente 1,alho
90,ingrediente 2,cebola
90,ingrediente 3,tomate
90,ingrediente 4,pepperoni
90,ingrediente 5,rúcula
90,massa,massa tradicional
90,queijo 1,mussarela
90,queijo 2,queijo coalho
91,bebida,suco de laranja
91,borda,sabor catupiry
91,ingrediente 1,cebola
91,ingrediente 2,orégano
91,ingrediente 3,azeitona
91,ingrediente 4,calabresa
91,ingrediente 5,carne seca
91,massa,massa tradicional
91,queijo 1,mussarela
91,queijo 2,provolone
92,bebida,água com gás
92,borda,borda tradicional
92,ingrediente 1,pepperoni
92,ingrediente 2,cebola
92,ingrediente 3,azeite de oliva
92,massa,massa final
92,queijo 1,mussarela
92,queijo 2,gorgonzola
93,bebida,suco de laranja
93,borda,borda tradicional
93,ingrediente 1,cogumelos
93,ingrediente 2,nozes
93,ingrediente 3,alho-poró
93,ingrediente 4,alho
93,ingrediente 5,mel
93,massa,massa tradicional
93,queijo 1,queijo brie
93,queijo 2,mussarela
94,bebida,limonada
94,borda,sabor catupiry
94,ingrediente 1,frango
94,ingrediente 2,presunto
94,ingrediente 3,camarão
94,ingrediente 4,carne moída
94,ingrediente 5,orégano
94,massa,massa tradicional
94,queijo 1,catupiry
94,queijo 2,mussarela
95,bebida,suco de uva
95,borda,borda tradicional
95,ingrediente 1,abobrinha
95,ingrediente 2,bacon
95,ingrediente 3,tomate
95,ingrediente 4,espinafre
95,ingrediente 5,tomate seco
95,massa,massa final
95,queijo 1,mussarela
95,queijo 2,gorgonzola
96,bebida,refrigerante
96,borda,sabor catupiry
96,ingrediente 1,frango
96,ingrediente 2,bacon
96,ingrediente 3,milho
96,massa,massa tradicional
96,queijo 1,mussarela
97,bebida,suco de abacaxi
97,borda,borda tradicional
97,ingrediente 1,bacon
97,ingrediente 2,calabresa
97,ingrediente 3,cogumelos
97,ingrediente 4,palmito
97,ingrediente 5,milho
97,massa,massa tradicional
97,queijo 1,mussarela
97,queijo 2,queijo coalho
98,bebida,refrigerante
98,borda,cheddar
98,ingrediente 1,presunto
98,ingrediente 2,bacon
98,ingrediente 3,calabresa
98,ingrediente 4,milho
98,ingrediente 5,ovo
98,massa,massa tradicional
98,queijo 1,mussarela
98,queijo 2,cheddar
99,bebida,limonada
99,borda,sabor catupiry
99,ingrediente 1,tomate seco
99,ingrediente 2,cogumelos
99,ingrediente 3,rúcula
99,ingrediente 4,pepperoni
99,massa,massa tradicional
99,queijo 1,gorgonzola
99,queijo 2,mussarela
100,bebida,chá gelado
100,borda,borda tradicional
100,ingrediente 1,azeitona
100,ingrediente 2,rúcula
100,ingrediente 3,bacon
100,ingrediente 4,milho
100,ingrediente 5,carne seca
100,massa,massa integral
100,queijo 1,gorgonzola
100,queijo 2,provolone
101,bebida,limonada
101,borda,sabor catupiry
101,ingrediente 1,rúcula
101,ingrediente 2,azeitona
101,ingrediente 3,tomate
101,ingrediente 4,calabresa
101,ingrediente 5,presunto
101,massa,massa grossa
101,queijo 1,mussarela
101,queijo 2,parmesão
102,bebida,suco de laranja
102,borda,sabor catupiry
102,ingrediente 1,pepperoni
102,ingrediente 2,bacon
102,ingrediente 3,tomate
102,ingrediente 4,alho
102,ingrediente 5,frango
102,massa,massa tradicional
102,queijo 1,mussarela
102,queijo 2,catupiry
103,bebida,cerveja
103,borda,borda tradicional
103,ingrediente 1,cogumelos
103,ingrediente 2,tomate
103,ingrediente 3,alcaparra
103,ingrediente 4,azeite de oliva
103,ingrediente 5,presunto
103,massa,massa final
103,queijo 1,parmesão
103,queijo 2,mussarela
104,bebida,suco de laranja
104,borda,borda tradicional
104,ingrediente 1,cogumelos
104,ingrediente 2,nozes
104,ingrediente 3,alho-poró
104,ingrediente 4,alho
104,ingrediente 5,mel
104,massa,massa tradicional
104,queijo 1,queijo brie
104,queijo 2,mussarela
105,bebida,suco de laranja
105,borda,borda tradicional
105,ingrediente 1,calabresa
105,ingrediente 2,carne seca
105,ingrediente 3,bacon
105,ingrediente 4,frango
105,ingrediente 5,cebola
105,massa,massa final
105,queijo 1,mussarela
105,queijo 2,provolone
106,bebida,refrigerante
106,borda,borda tradicional
106,ingrediente 1,pepperoni
106,ingrediente 2,cebola
106,ingrediente 3,bacon
106,ingrediente 4,alho
106,ingrediente 5,palmito
106,massa,massa tradicional
106,queijo 1,mussarela
106,queijo 2,parmesão
107,bebida,cerveja
107,borda,cheddar
